factual_questions,scenario_based_questions,advice_seeking_questions,ground_truth_doc_ids,ground_truth_docs
What are the legal bases that courts must consider when deciding on sentences?,"If a court is sentencing someone for theft with no prior criminal record but evidence of harm to society, how should it balance these factors according to the law?","As an individual facing charges, what steps can I take to ensure that mitigating factors are considered during my sentencing?",39e1445c-10b4-418e-b5c3-4e6c61039482,"Article 50. Basis for decision on sentences 
1. The Court shall issue the decision on sentences pursuant to this Code and in consideration of 
the nature and danger of the crime to society, record of the offender, mitigating factors, and 
aggravating factors. 
2. When imposing a fine, apart from the basis specified in Clause 1 of this Article, the Court 
shall also consider the offender's property and ability to pay the fine."
What are some examples of circumstances that can serve as mitigating factors according to Article 51?,"If someone voluntarily pays damages after committing a crime, how might this affect their sentencing?","As an offender facing charges, what steps can I take to potentially reduce my sentence based on the law?",519461cd-e0d2-49df-8bde-199405de7512,"Article 51. Mitigating factors  
1. The following circumstances are considered mitigating factors: 
a) The offender has prevented or reduced the harm caused by the crime; 
b) The offender voluntarily makes rectification, pays damages, or relieves the consequences; 
c) The crime is considered unjustified force in self-defense; 
d) The crime is considered unjustified force in urgent circumstance; 
dd) The crime is considered unjustified force in capturing a criminal; 
e) The crime is committed under provocation caused by the victim's illegal acts; 
g) The crime is committed because of extreme hardship that is not on the offender's account; 
h) The crime has not inflicted damage or the damage inflicted is not significant; 
i) The offender commits a less serious crime and does not have prior criminal record; 
k) The crime is committed because the offender threatened or coerced by others; 
l) The offender commits the crime while because of lack of awareness that is not on his/her 
account; 
m) The crime is committed due to obsolescence; 
n) The offender is a pregnant woman; 
o) The offender is 70 years of age or older; 
p) The offender has a serious physical disability or extremely serious physical disability; 
g) The offender has a disease that limits his/her awareness or control of his/her acts; 
r) The offender turns himself/herself in; 
s) The offender expresses cooperative attitude or contrition; 
t) The offender arduously assisting the agencies concerned in discovery of crimes or 
investigation; 
u) The offender has made reparation in an effort to atone for the crime; 
v) The offender is an excellent worker, soldier, or student; 
x) The offender is a parent, spouse, or child of a war martyr or war veteran. 
2. When issuing a decision on sentences, the Court might consider the offender's turning 
himself/herself in or other circumstances as mitigating factors and specify the reasons in the 
judgment. 
3. If a circumstance defined as a mitigating factor this Code is the basis for determination of a 
crime or sentence bracket, it shall not be considered a mitigating factor in the decision on 
sentences. 
"
What are some examples of circumstances that can be classified as aggravating factors under Article 52?,"If someone commits a theft while pretending to help with disaster relief during a natural disaster, would this situation fall under the category of an aggravating factor according to the law?","As a person who has been charged with a crime that involves deceitful actions to conceal it, what steps can I take to address these charges and potentially mitigate any sentencing factors?",078f0336-201e-47b7-a5b0-8c72d31ea6de,"Article 52. Aggravating factors 
1. The following circumstances are considered aggravating factors:a) Organized crime; 
b) The crime is committed in a professional manner; 
c) The offender abuses his/her position or power to commit the crime; 
d) The crime is of a gangster-like nature; 
dd) The crime is committed by despicable motives; 
e) The offender is determined to commit the crime to the end; 
g) The offence has been committed more than once; 
h) Recidivism or dangerous recidivism; 
i) The crime is committed against a person under 16 years of age, pregnant woman, or a person 
aged 70 years or older; 
k) The crime is committed against a defenseless person, a person having a serious physical 
disability or extremely serious physical disability, a person whose awareness is limited, or a 
person who is financially, spiritually, professionally or otherwise dependent on the offender; 
l) The offender takes advantage of war, state of emergency, natural disaster, epidemic, or other 
tragic circumstances of society to commit the crime; 
m) The offender makes use of sophisticated, deceitful, or ruthless tricks to commit the crime; 
n) The offender uses tricks or instruments capable of harming many people to commit the crime; 
o) The offender incites a person aged under 18 to commit the crime; 
p) The offender has deceitful or violent actions to conceal the crime. 
2. Circumstances defined by this Code as the basis for determination of a crime or sentence 
bracket shall not be considered an aggravating factor. 
"
What is defined as recidivism under this legal article?,"If someone with a prior conviction for a very serious crime deliberately commits another deliberate very serious crime, how would the law classify their actions?","As an individual trying to avoid criminal liability, what steps can I take regarding my past convictions?",0ba1555d-8107-4ca1-b407-359196238282,"Article 53. Recidivism and dangerous recividism0} 
1. Recidivism is a situation in which a person who has a previous conviction for the same 
offence which has not been expunged deliberately commits a very serious crime or involuntarily 
commits an extremely serious crime. 
2. Dangerous recidivism is a situation in which: 
a) A person who has a previous conviction for a deliberate very serious crime or extremely 
serious crime which has not been expunged deliberately commits a very serious crime or an 
extremely serious crime; 
b) A person who repeated the same offence for which the conviction has not been expunged 
deliberately commits another criminal offence. 
Section 2. DECISION ON SENTENCES IN PARTICULAR CASES 
"
What are the conditions under which a court can impose a sentence below the lower limit of the current bracket?,A person is charged with an offense and has two mitigating factors but was previously convicted; what should the court consider regarding their sentencing options?,"If I have been involved in a crime as an abettor without a prior record, how can I approach my attorney to argue for a lighter sentence?",8e980c34-5978-49e6-927d-1acadab7123f,"Article 54. Decision on a sentence below lower limit of the sentence bracket. 
1. The Court may decide a sentence lighter than the lower limit of the current sentence bracket if 
it is in the next lighter bracket provided the offender has at least two mitigating factors specified 
in Clause 1 Article 51 hereof.2. The Court may decide a sentence below the lower limit of the current sentence bracket and it 
is not required to belong to the next lighter bracket provided the offender is an abettor with a 
minor role in the offense and does not have prior criminal record. 
3. If all of the conditions specified in Clause 1 or Clause 2 of this Article are satisfied but there is 
only one sentence bracket, or the current sentence bracket is already most lenient, the Court may 
switch over to a lighter sentence. The reasons for imposition of a lighter sentence must be 
specified in the judgment. 
"
How does a court combine multiple community sentences or determinate imprisonments according to Article 55?,A person is convicted of several crimes and receives both community sentences and determinate imprisonment; how should the court handle these sentences under this law?,"If I am charged with multiple offenses, what steps can I take to ensure my legal rights are protected regarding sentence combination?",6397c297-8feb-4403-943e-a58d09812773,"Article 55. Decision on sentence for multiple crimes 
When a person is tried for multiple crimes, the Court shall decide the sentence for each of them 
and combined sentence as follows: 
1. Primary sentence: 
a) If all of the sentences imposed are community sentence or determinate imprisonment, they 
shall be combined. The combined sentence shall not exceed 03 years for community sentence 
and 30 years for determinate imprisonment;  
b) If the sentences imposed include community sentence and determinate imprisonment, 
community sentence shall be converted into imprisonment. 03 days' community sentence equals 
(=) 01 day's imprisonment. 
c) If the most severe sentence among the sentences imposed is life imprisonment, the combined 
sentence shall be life imprisonment; 
d) If the most severe sentence among the sentences imposed is death sentence, the combined 
sentence shall be death sentence; 
dd) Fines shall be aggregated and shall not be combined with other sentences;  
e) Expulsion shall not be combined with other sentences; 
2. Additional sentence: 
a) If all of the sentences imposed are of the same type, the combined sentence shall not exceed 
the limit imposed by this Code; fines shall be aggregated; 
b) If the sentences imposed are of various types, the convict must serve all of them. 
"
What happens when someone who is already serving a sentence is tried for another crime?,Imagine you're a lawyer representing a client who has been convicted of one offense but hasn't finished their sentence yet. They are charged with a new crime. How would the court handle this situation according to the law?,"If I'm currently serving a prison sentence and get accused of another crime, what steps should I take to ensure my legal rights are protected under the relevant legislation?",f3c47191-5ab8-4543-b6aa-76cf7b7cc268,"Article 56. Combination of sentences of multiple judgments 
1. If a person who is serving a sentence is tried for a crime committed before such sentence is 
imposed, the Court shall decide the sentence for the crime being tried, and then the combined 
sentence as prescribed in Article 55 hereof. 
The duration of the previous sentence shall be deducted from that of the combined sentence. 
2. When a person who is serving a sentence is tried for a new crime, the Court shall decide the 
sentence for the new crime, then aggregate it with the unserved part of the sentence to make the 
combined sentence as prescribed in Article 55 hereof.  
3. If a person is serving multiple sentences that are not combined, the executive judge of the 
Court shall issue a decision on a combined sentence as prescribed in Clause 1 and Clause 2 of 
this Article."
What factors does a court consider when deciding on a sentence for preparation or incomplete crimes?,"If someone is found to have prepared an attack but didn't carry it out, what kind of sentence could they expect based on the law?","As a legal professional, how would you advise your client who has been charged with preparing for a crime?",2eddc314-7fb3-4200-8a8e-b83310e62eb5,"Article 57. Decision on sentences for preparation of crimes or incomplete crimes 
1. A sentence for preparation of a crime or incomplete crime shall be decided in accordance with 
Articles on corresponding crimes hereof and vary according to their nature, danger to society, 
progress of the crime, and other factors that prevent the crime from being committed to the end. 
2. The sentence for preparation of a crime shall be imposed within the sentence brackets in 
particular provisions of law. 
3. The maximum sentence for an incomplete crime shall be 20 years if the maximum sentence 
provided for by corresponding provision of law is life imprisonment or death sentence. The 
maximum sentence for an unsuccessful crime shall not exceed three fourths of the determinate 
imprisonment sentence provided for by the corresponding provision of law. 
"
What are the requirements for a court when sentencing accomplices according to Article 58?,"If two people are involved in a robbery together, how should their sentences be determined under the law regarding complicacy?","As an individual charged as an accomplice, what steps can I take to ensure my sentence is fair and properly considered by the court?",5c46e6a9-7279-4919-9496-9b91ebeedbb6,"Article 58. Decision on sentence for complicacy 
When imposing sentences upon accomplices, the Court must consider the nature of complicacy 
and the degree of participation of each accomplice. 
Mitigating factors, aggravating factors, or from criminal responsibility of an accomplice shall 
only apply to that accomplice. 
"
Under what conditions can an offender be exempted from punishment according to Article 59?,"Imagine someone committed a crime, but later helped authorities significantly; would they qualify for exemption from punishment under the law?","If I'm involved in a situation where criminal responsibility might not apply, what steps should I take to seek exemption from punishment?",88521b25-987f-491c-80dd-07e8820e9997,"Article 59. Exemption from punishment 
The offender might be exempt from punishment in the cases specified in Clause 1 and Clause 2 
Article 54 hereof, provided he/she deserves the leniency but not to a degree eligible for 
exemption from criminal responsibility. "
What is the maximum time period for which a criminal sentence against an individual can be executed?,"If someone was sentenced to five years imprisonment and then commits another crime during that time, what happens to their original sentence's execution deadline?","As a legal professional advising a client who has been given a five-year limit for serving a prison sentence, what steps should I explain they can take if they are concerned about completing the sentence within this period?",da428fe9-e605-416d-adc4-2b0d7fdc7f05,"Article 60. Time limit for judgment execution 
1. The time limit for execution of a criminal judgment means a limited period of time defined by 
this Code after which the convicted person or corporate legal entity is no longer required to serve 
the given sentence. 
2. Time limits for execution of a sentence imposed upon a person: 
a) 05 years if the sentence is a fine, community sentence, or imprisonment of 03 years or shorter; 
b) 10 years if the sentence is imprisonment of from over 03 years to 15 years; 
c) 15 years if the sentence is imprisonment of from over 15 years to 30 years; 
d) 20 years if the sentence is life imprisonment or death. 
3. Time limits for execution of a sentence imposed upon a corporate legal entity is 05 years. 
4. The time limit for execution of a sentence begins from its effective date. Within the time limit 
set out in Clause 2 and Clause 3 of this Article, if the convicted person or corporate legal entity 
commits a new crime, the time limit will be reset and begins from the day on which the new 
crime is committed.5. During the time limit set out in Clause 2 of this Article, if the convicted deliberately avoid and 
has a wanted decision, the time limit will begin when he/she turns himself/herself in or gets 
arrested. 
"
Which specific crimes do not have a time limit on how long their sentences must be executed?,"If I am convicted under one of the crimes mentioned in Chapter XIII or Chapter XXVI, will my sentence ever expire even if it takes many years to complete?","As someone who might face charges for a crime covered by Chapters XIII and XXVI, what should I prepare myself regarding the potential lack of time limits on sentence execution?",0cfff767-b691-43e0-b5d4-2526e7a6d6f1,"Article 61. Non-application of time limit for sentence execution 
There are no time limits for execution of sentences for the crimes specified in Chapter XIII and 
Chapter XXVI hereof. 
"
What are the conditions under which a convict sentenced to imprisonment can be exempted from serving their sentence?,"If someone is convicted of a crime and has a serious illness, how might this affect their obligation to serve the sentence?","As an individual facing financial difficulties after being fined for a crime, what steps should I take to seek exemption from paying the remaining fine?",4ac314aa-8b5c-4073-bcf8-65cb84857b07,"Article 62. Exemption from serving sentences 
1. A convict shall be exempt from serving his/her sentence in the event of a parole or general 
amnesty. 
2. The Court, at the request of Director of the Procuracy, might exempt a person who is 
sentenced to community sentence or imprisonment of up to 03 years and has not served that 
sentence from serving the sentence in any of the following cases: 
a) The convict has made reparation in an effort to atone for the crime after being convicted; 
b) The convict has a fatal disease; 
c) The convict abides by law, his/her family is facing extreme hardship, and he/she is considered 
no longer dangerous to society. 
3. The Court, at the request of Director of the Procuracy, might exempt a person who is 
sentenced to imprisonment of over 03 years and has not served that sentence from serving the 
sentence if he/she has made reparation in an effort to atone for the crime or has a fatal disease 
and considered no longer dangerous to society. 
4. If a person who is sentenced to imprisonment of up to 03 years, has had the sentence 
suspended, and has made reparation in an effort to atone for the crime during the suspension 
period or abides by law, or his/her family is facing extreme hardship, and he/she is deemed no 
longer dangerous to society, the Court, at the request of Director of the Procuracy, might exempt 
him/her from serving the rest of the sentence. 
5. If a fined person has served part of the sentence and is facing prolonged financial hardship due 
to a natural disaster, conflagration, accident, or disease and thus no longer able to pay the 
remaining fine, or has made reparation in an effort to atone for the crime, the Court, at the 
request of Director of the Procuracy, might exempt him/her from paying the remaining fine. 
6. If a person prohibited from residence or kept under mandatory supervision has served at least 
half the sentence and shows remarkable improvements, the Court, at the request of the criminal 
sentence execution authority of the district where he/she serves the sentence, might exempt 
him/her from serving the rest of the sentence. 
7. The person exempt from serving a sentence as set out in this Article must fulfill the civil 
obligations specified in the judgment. 
"
What is the minimum period a person sentenced to determinate imprisonment or community sentence must serve before being eligible for commutation?,"If someone with multiple crimes, including one life imprisonment conviction, receives a commutation and then commits another crime, how long might they need to wait before getting another commutation?",What steps can an individual serving a sentence take to improve their chances of receiving a commutation?,b53826b6-9dc8-4b98-a453-8d67787b3b30,"Article 63. Commutation of sentence 
1. If a person who is sentenced to community sentence, determinate imprisonment, or life 
imprisonment has served the sentence for a sufficient period of time, shows improvements, and 
has fulfilled part of the civil liability, the Court, at the request of a competent criminal sentence 
execution authority, might issue a decision on commutation of the sentence.The convict must serve the sentence for a sufficient period of time which is one third of the 
duration of community sentence or determinate imprisonment, or 12 years of the life sentence. 
2. A person might receive more than one commutation. Nevertheless, at least half of the sentence 
must be served. 
The first commutation of a life sentence shall be 30-year imprisonment. Nevertheless, a life 
sentence must be served for at least 20 years in reality regardless of the number of 
commutations. 
3. If a person is convicted of multiple crimes and the sentence for one of which is life 
imprisonment, the Court may only give the first commutation to 30-year imprisonment after the 
convict has served the sentence for 15 years.  Nevertheless, he/she must serve the sentence for at 
least 25 years in reality regardless of the number of commutations. 
4. If a person who has received a commutation commits a new crime that is less serious, the 
Court may only give the first commutation after he/she has served haft of the combined sentence. 
5. If a person who has received a commutation commits a new crime that is serious, very serious, 
or extremely serious, the Court may only give the first commutation after he/she has served two 
thirds of the combined sentence. If the combined sentence is life, commutation shall be 
considered in accordance with Clause 3 of this Article. 
6. With regard a person who is sentenced to death and receives a commutation, or a person 
sentenced to death in the case specified in Point b or Point c Clause 3 Article 40 hereof, the first 
commutation may only be given after the convict has served the sentence for 25 years. 
Nevertheless, he/she must serve the sentence for at least 30 years in reality. 
"
What are the special circumstances under which a court might grant a commutation sooner or with more leniency?,"A person who has committed a crime is elderly and frail, but they have taken steps to make amends for their actions. How should this situation be addressed according to the law regarding commutation?","If someone believes that due to special circumstances like age or health issues, along with making reparation, they deserve more lenient treatment through a commutation, what legal advice can they seek?",31089c0d-14e3-41b3-a93d-fb50be397a55,"Article 64. Commutation under special circumstances 
If the convict deserves further leniency (he/she has made reparation in an effort to atone for the 
crime, is too old and weak, or has a fatal disease), the Court may consider giving a commutation 
sooner or at a greater degree than those set out in Article 63 hereof. 
"
What is the maximum length of probation that can be granted for crimes punishable by up to three years of imprisonment?,"If a person on probation fails to meet their obligations twice, what legal action might the court take against them?","As someone placed on probation, how can I ensure that my supervision and education requirements are fulfilled successfully?",39b6fbc5-ab1b-47d9-b030-71e14924af80,"Article 65. Probation 
1. Where a person is sentenced to imprisonment of up to 03 years, in consideration of the 
offender's records and mitigating factors, the Court might give probation of 1 - 5 years and 
request the convict to fulfill certain obligations during this period in accordance with the Law on 
criminal sentence execution if imprisonment is deem unnecessary. 
2. During the probation period, the person put on probation shall be supervised and educated by 
the organization or agency for which he/she works or the local authority. The family of the 
convict has the responsibility to cooperate with such agency or organization or the local authority 
in supervising and educating him/her. 
3. The court may impose additional sentences upon the person put on probation if provided for 
by the applied provision of law. 
4. After the person put on probation has served half the duration of the probation and shows 
improvements, at the request of the supervising agency/organization, the Court shall consider 
reducing the probation period.5. During the probation period, if the convict deliberately fails to fulfill his/her obligations twice 
or more as prescribed by the Law on criminal sentence execution, the Court might require 
him/her to serve the suspended imprisonment sentence. If the convict commits a new crime, the 
Court shall force him/her to serve a combined sentence of the suspended sentenced and the new 
sentence as prescribed in Article 56 hereof. 
"
What are the conditions required for a prisoner to be eligible for conditional parole?,"A prisoner with no prior record and who has shown significant improvement is granted parole after serving half their sentence, but then violates one of their obligations twice during probation. What legal consequences might they face under this law?","If I am a prisoner eligible for conditional parole, what steps can I take to increase my chances of being granted parole and successfully completing the probation period?",957b8e41-6dcc-4b18-819a-245d2039d733,"Article 66. Conditional parole 
1. A person serving an imprisonment sentence (prisoner) may be granted parole when all of the 
following conditions are satisfied: 
a) The prisoner does not have prior criminal record; 
b) The prisoner she shows remarkable improvements; 
c) The prisoner convicted of a serious crime, very serious crime, or extremely serious crime has 
received a commutation; 
d) The prisoner has a fixed residence; 
dd) The prisoner has paid fines, legal costs, and civil compensation in full; 
e) The prisoner has served at least half of determinate imprisonment or at least 15 years of life 
imprisonment commuted to determinate imprisonment. 
A prisoner who is a wounded soldier, sick soldier, member of a martyr's family, aged 70 or older, 
a person suffers from a serious physical disability or extremely serious physical disability, a 
woman raising a child under 36 months of age must serve at least one third of determinate 
imprisonment or at least 12 years of a life imprisonment sentence commuted to determinate 
imprisonment; 
g) The offence is not committed in any of the cases specified in Clause 2 of this Article. 
2. Parole shall not be granted to: 
a) any prisoner that is convicted of an offence against national security; terrorism, disruption of 
peace, crimes against humanity, war crimes; any person sentenced to 10 years' imprisonment or 
longer for deliberate infliction of harm to human life, health, or dignity; any person sentenced to 
7 years' imprisonment for robbery, kidnapping for ransom, illegal manufacturing, trading, 
appropriation of narcotic substances; 
b) any person sentenced to death and granted commutation or any person in the case specified in 
Clause 3 Article 40 hereof. 
3. At the request of a competent criminal sentence execution authority, the Court shall decide 
granting parole. The person granted parole must fulfill his/her obligations during the probation 
period. The probation period equals (=) the remaining duration of the imprisonment sentence. 
4. If the person granted parole deliberately fails to fulfill his/her obligations twice or more or 
receives 02 or more administrative penalties during the probation period, the Court might cancel 
the parole and force him/her to keep serving the sentence. 
If such person commits a new crime during the probation period, the Court shall force him/her to 
serve a combined sentence of the unserved sentenced and the new sentence as prescribed in 
Article 56 hereof.5. After the person granted parole has served half of the probation period and shows remarkable 
improvements, at the request of the competent criminal sentence execution authority, the Court 
shall consider reducing the probation period. 
"
Under what circumstances can an imprisonment sentence be deferred according to the law?,"If someone with young children is sentenced to prison, how might this situation affect their family's ability to request a deferral of the sentence?",What steps should a person take if they are facing an imprisonment sentence and believe it could be deferred due to being the sole breadwinner?,71bc4a6b-9b08-4864-84a7-4cb397ece530,"Article 67. Deferred imprisonment sentence 
1. A person sentenced to imprisonment (the convict) might have the sentence deferred in the 
following cases: 
a) A convict suffering from a serious disease may have the sentence deferred until he/she 
recovers; 
b) A convict who is a pregnant woman or having a child under 36 months of age may have the 
sentence deferred until the child reaches the age of 36 months; 
c) If the convict is the sole source of income in the family and his/her imprisonment causes 
his/her family to face extreme hardship, he/she may have the sentence deferred for up to 01 year, 
unless he/she commits an offence against national security, a very serious crime, or extremely 
serious crime; 
b) A person convicted of a less serious crime may have the sentence deferred for up to 01 year if 
required by his/her official duties. 
2. During the deferment, if the convict commits a new crime, the Court shall require him/her to 
serve a sentence which is a combination of the deferred sentence and the new sentence as 
prescribed in Article 56 hereof. 
"
What conditions allow for a suspended imprisonment sentence under this law?,"If someone is serving an imprisonment sentence and meets specific criteria, how can they have their sentence suspended?","As a person currently serving an imprisonment sentence, what steps should I take to qualify for having my sentence suspended?",cd063875-0e72-4488-8843-c634817353cd,"Article 68. Suspended imprisonment sentence 
1. A person who is serving an imprisonment sentence may have the sentence suspended in the 
cases specified in Clause 1 Article 67 hereof. 
2. The duration of suspension shall be included in the imprisonment period. "
What conditions allow for a person's criminal record to be expunged according to Article 69?,"If someone was convicted of a minor offense but has since shown good behavior, can their conviction ever become visible again?",How should I proceed if I'm eligible to have my past conviction removed from my record?,c258a230-18c9-499b-bf60-11237f92e02e,"Article 69. Conviction expungement 
1. A convict may have his conviction expunged in accordance with Article 70 through 73 hereof. 
A person whose conviction is expunged is treated as if he/she does not have such conviction. 
2. People convicted of involuntary and less serious crimes or serious crimes, and people exempt 
from punishments are treated as if they do not have any convictions. 
"
What is the procedure for automatic expungement of a conviction after serving a sentence?,"If someone was convicted of a crime punishable by up to five years in prison and completes their sentence without committing another offense, can they have their criminal record cleared automatically?","As an individual with a past conviction that qualifies for automatic expungement under the law, what steps should I take to ensure my record is updated properly?",55af9270-c8a4-44a5-85bb-69a41a957b29,"Article 70. Automatic conviction expungement 
1. Automatic conviction expungement is granted to people convicted of crimes other than those 
specified in Chapter XIII and Chapter XXVI hereof after they have served their  primary 
sentences, probation period, or when the time limit for sentence execution expires and the 
conditions specified in Clause 2 and Clause 3 of this Article are met. 
2. Automatic conviction expungement shall be granted to a convict if he has served the primary 
sentence or the probation period, additional punishments, other decisions of the judgment, and 
does not commit any new crime during the periods specified below:a) 01 year in case of a warning, fine, community sentence, or suspended imprisonment; 
b) 02 years in case of imprisonment of up to 05 years; 
c) 03 years in case of imprisonment from over 05 years to 15 years; 
d) 05 years in case of imprisonment of over 15 years or commuted life imprisonment. 
A convict serving an additional punishment that is mandatory supervision, prohibition from 
residence, prohibition from holding certain positions, prohibition from doing certain jobs, 
deprivation of certain citizenship rights for a period longer than those specified in Point a, b, and 
c of this Clause, automatic conviction expungement shall be granted when he/she finishes 
serving the additional punishment. 
3. Automatic conviction expungement shall be granted to a convict if he/she does not commit 
any new crime during the period specified in Clause 2 of this Article from the end of the time 
limit for sentence execution. 
4. The agency managing criminal record database shall update information about criminal 
records of the convicts and issue criminal records which contains certification of no convictions 
on request if all conditions specified in Clause 2 or Clause 3 of this Article are satisfied. 
"
What are the conditions required for a person to have their criminal conviction expunged under this law?,"After being convicted of a crime and serving their sentence, if they haven't committed any new offenses within three years but were sentenced to up to five years in prison, can their record be cleared according to these regulations?","If someone has been convicted under Chapter XIII or XXVI and wants their record expunged after completing their primary sentence, what steps should they take?",3d8aaece-1ccf-40e7-b9f2-96c4cdc6d1a3,"Article 71. Conviction expungement under a court's decision 
1. Conviction expungement under a court's is granted to people convicted of crimes specified in 
Chapter XIII and Chapter XXVI hereof after they have served their  primary sentences, 
probation period, or when the time limit for sentence execution expires and the conditions 
specified in Clause 2 and Clause 3 of this Article are met. 
The court shall decide whether to grant conviction expungement to people convicted of the 
criminal offences specified in Chapter XIII and Chapter XXVI hereof in consideration of the 
nature of the crimes committed, the convicts' obedience to the law and working attitude. 
2. The court shall grant conviction expungement if the convict, after serving the primary 
sentence or probation period as well as additional sentences and other decisions of the judgment, 
does not commit any new crime over the following periods: 
a) 03 years in case of warning, community sentence, or imprisonment of up to 05 years; 
b) 05 years in case of 05 - 15 years' imprisonment; 
c) 07 years in case of > 15 years' imprisonment, life imprisonment or death sentence that is 
commuted. 
If the convict is serving an additional sentence which is mandatory supervision, prohibition from 
residence, or deprivation of certain citizenship rights for a longer period than that specified in 
Point a of this Clause, conviction expungement shall be considered when he/she finishes serving 
the additional sentence. 
3. If a convict does not commit any new crime during the period specified in Clause 2 of this 
Article from the expiration of the time limit for sentence execution. 
4. If an application for conviction expungement rejected for the first time, it may only be 
resubmitted after 01 year; if the application for conviction expungement is rejected for the 
second time, it may only be resubmitted after 02 years."
What are the conditions under which a court can grant conviction expungement according to Article 72?,"A person who has been convicted is making positive changes and trying to make amends with their employer, who then requests for their record to be expunged. What steps must they take and what criteria does the court consider in this situation?","If I have a criminal record but I've shown significant improvement since my conviction, what should I do to request that it be expunged?",950a3f09-089c-4804-879c-ef538103cea1,"Article 72. Special cases of conviction expungement 
Where a convict shows remarkable improvements and has made reparation in an effort to atone 
for the crime, and conviction expungement is requested by his/her employer or local authority, 
the court shall decide to grant conviction expungement if has served at least one third of the 
period specified in Clause 2 Article 70 and Clause 2 Article 71 of this Law. 
"
What factors determine the time period after which a conviction can be expunged according to Article 73?,"If someone with an expungable conviction commits another crime and is convicted, how does this affect their eligibility for expungement under Article 73?","As a person who has had a conviction expunged, what steps should I take if I commit a new crime that leads to another conviction?",613e7539-19ce-45de-8038-5acde3e11bdf,"Article 73. Period after which a conviction may be expunged 
1. The period after which a conviction may be expunged specified in Article 70 and Article 71 
hereof depends on the primary sentence. 
2. If the convict who has not had the conviction expunged commits a new crime which leads to a 
conviction under an effective judgment, the period after which the conviction may be expunged 
shall start over from the day on which the primary sentence has been served or the end of the 
probation period of the new judgment, or from the deadline for execution of the new judgment. 
3. If the convict has committed more than one crime and one of which is naturally eligible for 
expungement, one of which is eligible for expungement under a court's decision, the court shall 
decide expungement according to the period specified in Article 71 hereof. 
4. Where a person is exempt from serving the remaining sentence, it will be considered that the 
sentence has been served. "
What is the basis for a corporation being held criminally responsible under this chapter?,"If a company commits fraud against its customers, what legal consequences might it face according to these regulations?","As an executive of a corporation that has been accused of criminal activity, what steps should I take to understand our potential liability?",7a2de46b-ba05-4db4-bfc2-e7df0ae87496,"Article 74. Application of Criminal Code to corporate legal entities committing criminal 
offences 
A corporate legal entity shall bear criminal responsibility according to this Chapter, other 
regulations of Part One hereof that do not contravene this Chapter. 
"
What are the four conditions a corporate legal entity must satisfy to be held criminally responsible?,"If a company's manager commits fraud using company funds without authorization, would the corporation itself be held liable under these rules?","As an executive of a corporation, what steps can I take to ensure my company complies with its criminal responsibility obligations and avoids legal issues?",3c6bcd65-9643-477c-aa05-33658d6f9c03,"Article 75. Conditions for a corporate legal entity to bear criminal responsibility 
1. A corporate legal entity shall only bear criminal responsibility if all of the following 
conditions are satisfied: 
a) The criminal offence is committed in the name of the corporate legal entity; 
b) The criminal offence is committed in the interests of the corporate legal entity; 
c) The criminal offence is under instructions or approval of the corporate legal entity; 
d) The time limit for criminal prosecution specified in Clause 2 and Clause 3 Article 27 hereof 
has not expired. 
2. The fact that corporate legal entity has criminal responsibility does not exempt criminal 
responsibility of individuals. 
"
What specific criminal offences can a corporate legal entity be held responsible for under this law?,"If a corporation is found to have evaded social insurance payments for its employees, how would the scope of its criminal responsibility apply according to these regulations?","As an executive in a company, what steps can I take to ensure that my business complies with environmental protection laws and avoids potential criminal liability?",e9689eb3-6029-4a82-9648-c0d34b3f21e7,"Article 76. Scope of criminal responsibility of a corporate legal entity 
A corporate legal entity shall only bear criminal responsibility for the following criminal 
offences:1. Article 188 (Smuggling); Article 189 (Illegal trafficking of goods or money across the border); 
Article 190 (Manufacture or trading of banned commodities); Article 191 (Storage or transport 
of banned commodities); Article 192 (manufacture or trading of counterfeit foods, foodstuff, or 
food additives); Article 194 (Manufacture of trading of counterfeit medicines for treatment or 
prevention of diseases); Article 195 (Manufacture or trading of counterfeit animal feeds, 
fertilizers, veterinary medicine, pesticides, plant varieties, animal breeds); Article 196 
(Hoarding); Article 200 (Tax evasion); Article 203 (Illegal printing, issuance, trading of invoices 
or receipts); Article 209 (Deliberate publishing of false information or concealment of 
information in securities activities); Article 210 (Use of internal information to deal in 
securities); Article 211 (Cornering the stock market); Article 213 (Commitment of frauds in 
insurance business); Article 216 (Evasion of social insurance, health insurance, unemployment 
insurance payment for employees); Article 217 (Violations against regulations on competition); 
Article 225 (Infringement of copyrights and relevant rights); Article 226 (Infringement of 
industrial property rights); Article 227 (violations against regulations on survey, exploration and 
extraction of natural resources);  Article 232 (Violations against regulations on forest extraction 
and protection); Article 234 (Violations against regulations on management and protection of 
wild animals); 
2. Article 235 (Causing environmental pollution); Article 237 (Violations against regulations on 
environmental emergency prevention, response, and relief); Article 238 (Violations against 
regulations on protection of irrigation works, embankments, and works for protection against 
natural disasters; Violations against regulations on protection of river banks); Article 239 (Import 
of wastes into Vietnam’s territory); Article 22 (Destruction of aquatic resources); Article 243 
(Forest destruction); Article 244 (Violations against regulations on management and protection 
of endangered, rare animals); Article 245 (Violations against regulations on management of 
wildlife sanctuaries); Article 246 (Import and spread of invasive alien species). 
"
